"FLEURY S.A. E CONTROLADAS
BALANÇOS PATRIMONIAIS EM 31 DE DEZEMBRO
(Em milhares de reais - R$)",,,,,,,,,,,
,Nota,Controladora,,Consolidado,,,Nota,Controladora,,Consolidado,
Ativo,,31/12/2014,31/12/2013,31/12/2014,31/12/2013,Passivo e Patrimônio Líquido,,31/12/2014,31/12/2013,31/12/2014,31/12/2013
Ativo Circulante,,,,,,Passivo Circulante,,,,,
Caixa e equivalentes de caixa,5,"505,228","538,853","505,274","539,943",Empréstimos e financiamentos,13,"78,264","73,432","78,264","73,432"
Instrumentos financeiros derivativos,6,-,9,-,9,Fornecedores,14,"104,399","103,617","105,172","104,312"
Contas a receber,7,"384,757","398,056","390,193","400,063",Salários e encargos a recolher,15,"53,946","49,447","53,946","49,447"
Estoques,8,"13,678","16,860","13,678","16,860",Impostos e contribuições a recolher,16,"23,835","23,691","24,017","23,753"
Impostos a recuperar,9,"100,533","83,831","101,560","84,751",Contas a pagar - aquisição de empresas,17,"3,074","8,585","3,536","9,079"
Despesas do exercício seguinte,,678,"1,950",678,"1,950",Outras contas a pagar,,146,125,146,125
Outros,,"6,050","11,068","6,051","11,070",Total do passivo circulante,,"263,664","258,897","265,081","260,148"
Total do ativo circulante,,"1,010,924","1,050,627","1,017,434","1,054,646",,,,,,
,,,,,,Passivo Não Circulante,,,,,
"Ativo Não Circulante
Realizável a longo prazo:",,,,,,"Empréstimos e financiamentos
Imposto de renda e contribuição social diferidos","13
27","960,556
322,959","911,094
252,080","960,556
323,747","911,094
253,191"
"Depósitos judiciais
Imposto de renda e contribuição social diferidos
Outros","18
27","31,462
132,078
29,779","12,968
119,317
27,435","31,465
132,078
29,779","12,970
119,317
27,435","Provisão para riscos tributários, trabalhistas e cíveis
Impostos e contribuições a recolher
Contas a pagar - aquisição de empresas","18
16
17","20,334
52,068
14,743","18,089
63,258
16,106","20,334
52,068
15,018","18,089
63,258
16,354"
Total do realizável a longo prazo,,"193,319","159,720","193,322","159,722",Total do passivo não circulante,,"1,370,660","1,260,627","1,371,723","1,261,986"
Investimentos,10,"29,235","28,787","7,741","7,806",Patrimônio Líquido,,,,,
"Imobilizado
Intangível","11
12","455,368
1,518,442","450,372
1,519,051","458,496
1,532,775","454,556
1,534,437","Capital social
Reserva de capital - opções outorgadas reconhecidas",21,"1,379,747
5,809","1,379,747
7,680","1,379,747
5,809","1,379,747
7,680"
Total do ativo não circulante,,"2,196,364","2,157,930","2,192,334","2,156,521","Reserva de reavaliação
Reserva legal",,"621
37,846","968
33,556","621
37,846","968
33,556"
,,,,,,"Reserva para investimentos
Total do Patrimônio Líquido",,"148,941
1,572,964","267,082
1,689,033","148,941
1,572,964","267,082
1,689,033"
Total do Ativo,,"3,207,288","3,208,557","3,209,768","3,211,167",Total do passivo e patrimônio líquido,,"3,207,288","3,208,557","3,209,768","3,211,167"
As notas explicativas são parte integrante das demonstrações financeiras.,,,,,,,,,,,
